"unique_link_id";"direction";"length";"frequency";"lon_a";"lon_b";"lat_a";"lat_b"
"172.22.204.1P4.1-172.22.204.6P4.1";"29 A-B";1.51;14.5;9.750917;9.737306;4.053667;4.053
"172.22.206.16P4.4-172.22.206.30P3.1";"35 A-B";2.82;14.5;9.752944;9.739611;4.085936;4.064306
"172.22.206.30P3.1-172.22.206.16P4.4";"35 B-A";2.82;15;9.739611;9.752944;4.064306;4.085936
"172.22.208.13P4.1-172.22.208.9P4.1";"42 A-B";2.28;15;9.748028;9.767833;4.034444;4.029
"172.22.208.9P4.1-172.22.208.13P4.1";"42 B-A";2.28;14.5;9.767833;9.748028;4.029;4.034444
"172.22.208.9P6.1-172.22.208.15P4.1";"44 B-A";1.74;14.5;9.767833;9.782694;4.029;4.033917
"172.22.208.16P4.1-172.22.208.9P8.1";"45 A-B";1.26;15;9.762056;9.767833;4.03875;4.029
"172.22.208.9P8.1-172.22.208.16P4.1";"45 B-A";1.26;14.5;9.767833;9.762056;4.029;4.03875
"172.22.210.13P5.1-172.22.210.18P3.1";"51 A-B";0.67;14.5;9.750917;9.750167;4.053667;4.059667
"172.22.211.11P3.1-172.22.211.12P3.1";"58 A-B";2.57;15;9.768083;9.7755;4.017917;3.996
"172.22.211.12P3.1-172.22.211.11P3.1";"58 B-A";2.57;14.5;9.7755;9.768083;3.996;4.017917
"172.22.249.1P3.2-172.22.249.3P3.1";"71 A-B";1.68;14.5;9.767833;9.755167;4.029;4.037361
"172.22.249.3P3.1-172.22.249.1P3.2";"71 B-A";1.68;15;9.755167;9.767833;4.037361;4.029
"172.22.249.1P5.1-172.22.249.4P3.1";"72 A-B";1.96;14.5;9.767833;9.766222222;4.029;4.046555556
"172.22.249.1P6.2-172.22.249.14P3.1";"73 A-B";2.24;14.5;9.767833;9.748333;4.029;4.023775
"172.22.249.14P3.1-172.22.249.1P6.2";"73 B-A";2.24;15;9.748333;9.767833;4.023775;4.029
"172.22.249.14P4.1-172.22.249.15P3.1";"74 A-B";0.69;15;9.748333;9.743888889;4.023775;4.0194
"172.22.253.10P3.1-172.22.253.1P5.3";"88 B-A";2.22;15;9.767778;9.750917;4.064361;4.053667
"172.22.253.1P6.2-172.22.253.11P8.1";"91 A-B";1.05;14.5;9.750917;9.743527778;4.053667;4.059611111
"172.22.253.1P3.2-172.22.253.6P3.1";"93 A-B";1.72;14.5;9.750917;9.759217;4.053667;4.066739
"172.22.254.1P3.4-172.22.254.2P3.1";"95 A-B";3.88;14.5;9.767833;9.745078;4.029;4.002553
"172.22.254.2P3.1-172.22.254.1P3.4";"95 B-A";3.88;15;9.745078;9.767833;4.002553;4.029
"172.22.253.1P6.3-172.22.253.12P8.1";"111 B-A";2.84;8.5;9.75033333333333;9.77588888888889;4.05377777777778;4.05525
"172.22.254.1P4.1-172.22.254.12P3.1";"112 A-B";2.59;15;9.767833;9.756817;4.029;4.008442
"172.22.254.12P3.1-172.22.254.1P4.1";"112 B-A";2.65;15;9.75681666666667;9.76783333333333;4.00844166666667;4.02961111111111
"172.22.249.1P5.4-172.22.249.9P3.1";"152 A-B";2.97;14.5;9.76783333333333;9.77936111111111;4.02961111111111;4.05369444444444
"172.22.249.9P3.1-172.22.249.1P5.4";"152 B-A";2.97;15;9.77936111111111;9.76783333333333;4.05369444444444;4.02961111111111
"172.22.254.1P3.2-172.22.254.7P6.2";"153 A-B";3.62;15;9.76783333333333;9.76388888888889;4.02961111111111;3.99733333333333
"172.22.254.1P4.2-172.22.254.13P6.2";"154 A-B";2.87;8.5;9.76783333333333;9.76205555555556;4.02961111111111;4.00447222222222
"172.22.208.7P5.1-172.22.208.26P6.2";"158 A-B";0.55;14.5;9.76783333333333;9.77118055555556;4.02961111111111;4.03321666666667
"172.22.210.13P4.1-172.22.210.5P3.1";"192 A-B";0.41;18;9.75033333333333;9.74875;4.05377777777778;4.05708333333333
"172.22.253.21P3.2-172.22.253.11P8.2";"223 B-A";0.48;18;9.74568888888889;9.7435;4.0636;4.05986111111111
"172.22.211.1P6.3-172.22.211.15P3.1";"242 A-B";5.28;15.5;9.73344444444444;9.78027777777778;4.0325;4.02388888888889
"172.22.211.15P3.1-172.22.211.1P6.3";"242 B-A";5.28;15;9.78027777777778;9.73344444444444;4.02388888888889;4.0325
"172.22.211.1P5.1-172.22.211.11P8.1";"245 A-B";4.17;15;9.73344444444444;9.76808333333333;4.0325;4.01791666666667
"172.22.211.11P8.1-172.22.211.1P5.1";"245 B-A";4.17;14.5;9.76808333333333;9.73344444444444;4.01791666666667;4.0325
"172.22.249.2P5.1-172.22.249.1P5.3";"263 A-B";2.87;15.5;9.76205555555556;9.76783333333333;4.00447222222222;4.02961111111111
"172.22.249.1P5.3-172.22.249.2P5.1";"263 B-A";2.87;15;9.76783333333333;9.76205555555556;4.02961111111111;4.00447222222222
"172.22.204.7P7.2-172.22.204.35P3.1";"270 B-A";1.18;15;9.75033333333333;9.75311111111111;4.05377777777778;4.06405555555556
"172.22.249.1P4.1-172.22.249.21P3.1";"271 A-B";1.15;19;9.76783333333333;9.77395555555556;4.02961111111111;4.02123888888889
"172.22.249.21P3.1-172.22.249.1P4.1";"271 B-A";1.15;18;9.77395555555556;9.76783333333333;4.02123888888889;4.02961111111111
"172.22.208.7P5.1-172.22.208.26P3.1";"293 A-B";0.85;14.5;9.767833;9.774333;4.029;4.033028
"172.22.210.3P3.1-172.22.210.13P3.2";"294 A-B";0.59;15;9.745611;9.750917;4.054186;4.053667
